neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_type
Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,1.01,251,Profesional
Manhattan,Upper West Side,Entire home/apt,151,2,73,0.63,302,Ocasional
Brooklyn,Williamsburg,Entire home/apt,228,3,82,0.7,140,Ocasional
Brooklyn,Greenpoint,Entire home/apt,144,2,328,2.82,234,Ocasional
Manhattan,Kips Bay,Entire home/apt,200,7,19,0.22,257,Ocasional
Brooklyn,Williamsburg,Entire home/apt,150,30,105,0.9,30,Ocasional
Manhattan,Lower East Side,Private room,110,5,19,0.17,301,Ocasional
Manhattan,Hell's Kitchen,Private room,69,2,289,2.49,294,Profesional
Brooklyn,Greenpoint,Private room,49,4,138,1.19,320,Profesional
Manhattan,SoHo,Entire home/apt,180,30,21,0.3,154,Ocasional
Brooklyn,Williamsburg,Private room,80,2,42,0.38,263,Ocasional
Manhattan,Chelsea,Entire home/apt,375,180,5,0.12,180,Ocasional
Manhattan,Upper East Side,Entire home/apt,250,2,66,0.57,231,Profesional
Brooklyn,Prospect Heights,Entire home/apt,200,30,143,1.33,297,Profesional
Brooklyn,Clinton Hill,Private room,55,7,27,0.23,292,Profesional
Manhattan,Hell's Kitchen,Private room,52,30,191,1.65,191,Ocasional
Brooklyn,Park Slope,Entire home/apt,225,3,4,0.16,0,Ocasional
Manhattan,East Village,Private room,80,1,338,4.72,72,Profesional
Brooklyn,Williamsburg,Entire home/apt,275,1,148,1.4,362,Ocasional
Manhattan,East Village,Private room,99,1,106,1.26,336,Profesional
Manhattan,East Harlem,Entire home/apt,225,4,190,1.64,215,Ocasional
Manhattan,East Village,Entire home/apt,230,9,49,0.43,116,Ocasional
Manhattan,Hell's Kitchen,Private room,51,7,23,0.43,88,Ocasional
Manhattan,Washington Heights,Private room,65,2,49,1.6,336,Profesional
Brooklyn,Clinton Hill,Private room,105,2,105,0.92,304,Ocasional
Manhattan,East Village,Entire home/apt,190,5,21,0.2,224,Ocasional
Manhattan,Upper East Side,Private room,200,1,142,1.5,322,Ocasional
Queens,Woodside,Private room,70,30,25,0.22,324,Ocasional
Brooklyn,Fort Greene,Private room,95,3,143,1.28,132,Ocasional
Manhattan,Chelsea,Private room,150,3,167,1.65,295,Ocasional
Brooklyn,Williamsburg,Private room,145,3,61,0.54,238,Profesional
Manhattan,Harlem,Entire home/apt,110,31,54,0.49,209,Ocasional
Manhattan,Lower East Side,Entire home/apt,285,5,70,0.62,328,Ocasional
Brooklyn,Flatbush,Entire home/apt,130,6,16,0.15,38,Ocasional
Manhattan,Lower East Side,Private room,94,30,94,0.84,188,Ocasional
Brooklyn,Williamsburg,Entire home/apt,105,3,61,0.53,272,Ocasional
Manhattan,East Village,Private room,60,3,194,1.73,26,Ocasional
Manhattan,East Village,Private room,50,1,2,0.05,0,Ocasional
Brooklyn,Williamsburg,Private room,85,3,174,1.54,288,Profesional
Brooklyn,Bushwick,Private room,65,4,24,0.28,317,Ocasional
Brooklyn,Prospect Heights,Entire home/apt,131,4,166,3.4,207,Ocasional
Brooklyn,Clinton Hill,Private room,98,7,16,0.2,185,Profesional
Brooklyn,Prospect Heights,Entire home/apt,250,7,21,0.3,158,Ocasional
Brooklyn,Williamsburg,Entire home/apt,100,5,168,1.57,0,Ocasional
Brooklyn,Bushwick,Entire home/apt,105,3,118,1.05,9,Profesional
Manhattan,Upper West Side,Entire home/apt,140,3,81,0.71,198,Ocasional
Manhattan,Harlem,Private room,89,1,1,0.11,365,Ocasional
Manhattan,Chelsea,Private room,98,30,30,0.27,364,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,1.23,311,Profesional
Manhattan,Harlem,Private room,60,3,11,0.87,219,Profesional
Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,2.09,342,Profesional
Manhattan,Washington Heights,Private room,65,2,68,0.6,312,Ocasional
Manhattan,West Village,Entire home/apt,500,4,46,0.55,243,Profesional
Brooklyn,Williamsburg,Private room,101,3,335,3.02,152,Ocasional
Brooklyn,Park Slope,Entire home/apt,220,30,88,0.79,9,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,1.46,137,Profesional
Brooklyn,Williamsburg,Entire home/apt,80,30,29,0.4,222,Ocasional
Manhattan,Harlem,Private room,100,2,170,1.61,346,Ocasional
Brooklyn,Gowanus,Entire home/apt,200,30,19,0.2,208,Ocasional
Manhattan,Hell's Kitchen,Private room,59,2,334,3.0,279,Profesional
Brooklyn,Clinton Hill,Private room,125,2,19,0.2,250,Profesional
Manhattan,East Village,Entire home/apt,140,7,12,0.13,164,Ocasional
Brooklyn,South Slope,Entire home/apt,120,30,467,4.22,192,Profesional
Manhattan,East Village,Entire home/apt,350,2,7,0.06,298,Profesional
Manhattan,Kips Bay,Entire home/apt,199,5,38,0.38,260,Ocasional
Brooklyn,Williamsburg,Entire home/apt,325,3,324,3.01,107,Ocasional
Manhattan,Upper West Side,Entire home/apt,235,6,27,0.27,199,Ocasional
Manhattan,East Village,Entire home/apt,225,1,115,1.05,299,Profesional
Brooklyn,South Slope,Private room,99,2,354,3.2,20,Profesional
Manhattan,Harlem,Entire home/apt,170,2,195,2.03,318,Ocasional
Brooklyn,South Slope,Entire home/apt,400,2,16,0.24,216,Profesional
Manhattan,Upper West Side,Entire home/apt,170,7,13,0.12,224,Ocasional
Manhattan,East Village,Entire home/apt,100,4,25,0.23,0,Ocasional
Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,0.08,324,Ocasional
Brooklyn,Williamsburg,Private room,90,1,9,0.08,245,Ocasional
Manhattan,Upper East Side,Entire home/apt,150,5,21,0.19,189,Ocasional
Manhattan,Washington Heights,Private room,85,15,36,0.33,307,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,0.58,310,Profesional
Manhattan,Harlem,Entire home/apt,120,3,155,1.42,213,Profesional
Brooklyn,Clinton Hill,Private room,89,3,260,2.35,278,Ocasional
Manhattan,East Village,Entire home/apt,185,5,73,0.66,209,Ocasional
Brooklyn,Greenpoint,Private room,50,3,193,1.86,0,Ocasional
Manhattan,Lower East Side,Entire home/apt,105,3,32,0.29,16,Ocasional
Manhattan,Hell's Kitchen,Private room,130,2,50,0.45,234,Profesional
Manhattan,West Village,Entire home/apt,115,29,26,0.25,12,Ocasional
Brooklyn,Flatlands,Private room,77,2,2,0.02,178,Ocasional
Brooklyn,Clinton Hill,Private room,76,2,426,3.89,275,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2.09,163,Profesional
Brooklyn,Clinton Hill,Private room,135,4,84,0.77,365,Profesional
Brooklyn,Greenpoint,Entire home/apt,250,29,3,0.03,34,Ocasional
Brooklyn,Williamsburg,Entire home/apt,199,3,10,0.1,280,Ocasional
Brooklyn,Cobble Hill,Entire home/apt,140,2,4,0.04,0,Ocasional
Queens,Flushing,Private room,140,2,1,0.01,1,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,1.72,170,Profesional
Brooklyn,Williamsburg,Entire home/apt,160,3,11,0.11,188,Ocasional
Brooklyn,Williamsburg,Entire home/apt,195,4,240,2.19,214,Ocasional
Manhattan,East Village,Entire home/apt,195,3,30,0.28,248,Ocasional
Brooklyn,Williamsburg,Private room,80,3,200,1.86,262,Profesional
Brooklyn,Fort Greene,Private room,44,8,27,1.05,280,Profesional
Manhattan,West Village,Private room,156,4,79,0.74,307,Ocasional
Brooklyn,Prospect Heights,Private room,85,15,9,0.09,339,Ocasional
Brooklyn,Williamsburg,Private room,125,3,155,1.61,1,Ocasional
Brooklyn,Prospect Heights,Entire home/apt,115,15,4,0.05,269,Ocasional
Manhattan,East Harlem,Private room,69,2,34,0.32,10,Ocasional
Manhattan,West Village,Entire home/apt,225,45,134,1.24,312,Ocasional
Brooklyn,Williamsburg,Entire home/apt,125,6,27,0.25,189,Ocasional
Manhattan,Upper East Side,Entire home/apt,219,4,126,1.16,290,Profesional
Brooklyn,Boerum Hill,Entire home/apt,475,3,23,0.27,230,Ocasional
Manhattan,Upper East Side,Entire home/apt,99,1,234,2.6,164,Profesional
Brooklyn,Williamsburg,Private room,69,4,202,1.86,53,Profesional
Queens,Sunnyside,Private room,79,30,28,0.26,126,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2.86,3,Profesional
Brooklyn,DUMBO,Private room,250,3,14,0.13,189,Ocasional
Manhattan,Upper East Side,Entire home/apt,250,3,4,0.08,365,Ocasional
Brooklyn,Gowanus,Entire home/apt,250,2,80,2.17,0,Ocasional
Manhattan,Harlem,Entire home/apt,80,3,2,0.04,0,Ocasional
Brooklyn,Clinton Hill,Private room,70,2,294,3.47,336,Profesional
Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,1.4,342,Profesional
Staten Island,St. George,Private room,70,2,166,1.66,312,Ocasional
Brooklyn,Bushwick,Private room,50,2,47,0.94,37,Ocasional
Bronx,Highbridge,Private room,40,1,219,2.04,353,Profesional
Brooklyn,Williamsburg,Entire home/apt,150,2,193,1.78,177,Ocasional
Manhattan,East Village,Private room,125,1,84,0.78,310,Profesional
Manhattan,Financial District,Entire home/apt,196,3,114,1.06,0,Ocasional
Brooklyn,Fort Greene,Private room,110,2,213,2.0,321,Profesional
Manhattan,West Village,Entire home/apt,170,3,86,0.8,246,Ocasional
Manhattan,Harlem,Entire home/apt,165,3,80,0.75,231,Profesional
Manhattan,West Village,Entire home/apt,150,26,38,0.36,225,Ocasional
Manhattan,Harlem,Entire home/apt,100,2,18,1.79,0,Ocasional
Brooklyn,Fort Greene,Private room,65,2,206,1.92,0,Profesional
Queens,Ridgewood,Entire home/apt,350,8,10,0.11,365,Profesional
Manhattan,Morningside Heights,Private room,99,4,122,1.18,233,Profesional
Brooklyn,Williamsburg,Entire home/apt,200,4,33,0.58,1,Ocasional
Brooklyn,Park Slope,Entire home/apt,150,5,52,0.5,18,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,1.17,343,Profesional
Brooklyn,Prospect Heights,Private room,120,3,51,0.48,250,Profesional
Manhattan,Upper East Side,Private room,75,3,199,1.85,326,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,0.29,364,Ocasional
Manhattan,Chelsea,Entire home/apt,125,3,3,0.03,0,Ocasional
Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,0.38,299,Ocasional
Manhattan,Lower East Side,Entire home/apt,299,2,109,1.04,207,Ocasional
Brooklyn,South Slope,Entire home/apt,135,5,151,1.43,162,Profesional
Manhattan,Upper East Side,Private room,130,14,0,0.0,0,Profesional
Manhattan,Lower East Side,Private room,83,1,285,2.69,7,Ocasional
Manhattan,Chelsea,Private room,123,1,375,3.52,328,Ocasional
Queens,Jamaica,Private room,55,2,52,0.49,365,Profesional
Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,1.01,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,0.48,0,Ocasional
Queens,Middle Village,Entire home/apt,98,30,33,0.31,240,Profesional
Queens,Ridgewood,Private room,140,7,6,0.06,365,Profesional
Queens,Middle Village,Entire home/apt,265,7,38,0.38,365,Profesional
Brooklyn,Williamsburg,Entire home/apt,249,2,358,3.44,164,Profesional
Manhattan,Hell's Kitchen,Shared room,105,6,10,0.09,363,Ocasional
Manhattan,Harlem,Private room,200,30,0,0.0,365,Ocasional
Brooklyn,Prospect Heights,Private room,100,2,226,2.12,250,Profesional
Manhattan,Harlem,Entire home/apt,121,1,104,1.0,247,Profesional
Bronx,Highbridge,Private room,45,1,138,1.45,323,Profesional
Manhattan,East Harlem,Private room,100,5,204,1.92,192,Ocasional
Brooklyn,Williamsburg,Entire home/apt,140,2,253,3.04,125,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,0.22,91,Ocasional
Manhattan,NoHo,Private room,130,2,115,1.17,75,Ocasional
Manhattan,West Village,Entire home/apt,199,5,129,1.22,286,Ocasional
Brooklyn,Williamsburg,Private room,69,4,82,1.13,60,Profesional
Brooklyn,Fort Greene,Private room,68,3,37,0.35,0,Ocasional
Manhattan,East Village,Entire home/apt,130,1,204,2.04,192,Ocasional
Brooklyn,Greenpoint,Entire home/apt,195,2,69,0.65,58,Ocasional
Manhattan,Harlem,Private room,64,1,192,1.84,245,Profesional
Queens,Ditmars Steinway,Entire home/apt,140,2,17,0.16,292,Ocasional
Brooklyn,Cobble Hill,Entire home/apt,159,2,222,2.12,279,Ocasional
Manhattan,East Village,Entire home/apt,189,3,205,1.96,0,Ocasional
Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,0.96,3,Ocasional
Manhattan,East Village,Entire home/apt,239,3,7,0.07,351,Ocasional
Manhattan,Flatiron District,Entire home/apt,305,2,108,1.09,201,Ocasional
Manhattan,Harlem,Entire home/apt,155,3,222,2.1,232,Profesional
Manhattan,Harlem,Private room,60,1,458,4.58,258,Profesional
Brooklyn,Windsor Terrace,Private room,135,2,21,0.26,272,Ocasional
Manhattan,Roosevelt Island,Private room,120,7,17,0.3,341,Ocasional
Manhattan,Lower East Side,Entire home/apt,150,3,41,0.39,244,Ocasional
Queens,Ridgewood,Entire home/apt,140,14,1,0.01,365,Profesional
Brooklyn,Greenpoint,Entire home/apt,135,2,69,0.67,12,Ocasional
Manhattan,Chinatown,Entire home/apt,250,4,18,0.18,265,Profesional
Manhattan,Midtown,Entire home/apt,250,30,82,0.78,0,Ocasional
Manhattan,SoHo,Entire home/apt,500,4,94,0.99,329,Ocasional
Manhattan,Greenwich Village,Entire home/apt,225,5,10,0.1,91,Ocasional
Manhattan,East Harlem,Entire home/apt,125,28,183,1.83,365,Profesional
Manhattan,Harlem,Private room,92,1,189,1.82,253,Profesional
Manhattan,Harlem,Private room,175,2,1,0.11,365,Ocasional
Manhattan,East Village,Entire home/apt,99,2,127,1.22,320,Ocasional
Manhattan,Upper West Side,Entire home/apt,195,4,4,0.04,0,Ocasional
Manhattan,East Harlem,Entire home/apt,140,3,135,1.3,192,Profesional
Manhattan,Little Italy,Entire home/apt,135,2,21,0.2,0,Ocasional
Manhattan,Chelsea,Entire home/apt,500,2,35,0.34,348,Ocasional
Manhattan,Harlem,Private room,80,14,10,2.21,0,Profesional
Manhattan,Chinatown,Private room,120,4,171,1.8,353,Profesional
Manhattan,Midtown,Entire home/apt,110,200,92,0.9,140,Ocasional
Brooklyn,East Flatbush,Entire home/apt,65,3,238,2.3,2,Ocasional
Manhattan,East Village,Entire home/apt,130,50,56,0.58,56,Ocasional
Brooklyn,Bushwick,Entire home/apt,99,3,111,2.13,68,Ocasional
Staten Island,Tompkinsville,Private room,36,2,193,1.85,360,Profesional
Staten Island,Tompkinsville,Private room,37,2,147,1.44,0,Profesional
Staten Island,Tompkinsville,Private room,37,2,177,1.71,320,Profesional
Manhattan,East Village,Entire home/apt,175,3,185,1.78,326,Profesional
Manhattan,Chelsea,Entire home/apt,205,9,62,0.7,76,Profesional
Brooklyn,Greenpoint,Entire home/apt,285,3,124,1.22,279,Profesional
Brooklyn,Williamsburg,Private room,59,2,181,1.77,15,Profesional
Staten Island,Tompkinsville,Private room,36,2,333,3.19,340,Profesional
Queens,Astoria,Entire home/apt,99,5,441,4.5,226,Ocasional
Brooklyn,Kensington,Private room,39,1,45,0.46,365,Profesional
Brooklyn,Park Slope,Private room,60,14,9,0.09,0,Profesional
Bronx,Clason Point,Private room,90,2,0,0.0,349,Profesional
Bronx,Eastchester,Entire home/apt,105,2,38,0.5,365,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,2.39,11,Profesional
Manhattan,East Village,Entire home/apt,390,5,143,1.38,316,Profesional
Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,0.41,281,Profesional
Manhattan,Inwood,Private room,75,7,0,0.0,323,Profesional
Brooklyn,Williamsburg,Private room,60,17,14,0.14,362,Profesional
Manhattan,East Village,Entire home/apt,200,3,0,0.0,0,Ocasional
Brooklyn,Crown Heights,Private room,100,3,279,2.69,301,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,0.22,189,Profesional
Brooklyn,Crown Heights,Private room,110,6,50,3.55,0,Ocasional
Brooklyn,Crown Heights,Private room,60,2,227,2.27,287,Profesional
Manhattan,Little Italy,Entire home/apt,90,14,1,0.16,14,Ocasional
Manhattan,East Village,Private room,68,2,203,1.96,86,Profesional
Manhattan,Upper West Side,Entire home/apt,115,2,210,2.1,261,Ocasional
Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,0.67,68,Ocasional
Brooklyn,Williamsburg,Private room,60,3,0,0.0,0,Ocasional
Manhattan,East Village,Entire home/apt,129,7,5,0.15,231,Ocasional
Brooklyn,Williamsburg,Entire home/apt,130,10,49,0.48,152,Ocasional
Brooklyn,Williamsburg,Entire home/apt,95,4,132,1.27,46,Ocasional
Manhattan,Harlem,Private room,75,3,20,0.26,364,Ocasional
Brooklyn,Park Slope,Entire home/apt,175,2,11,0.11,246,Ocasional
Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,0.57,288,Ocasional
Brooklyn,Crown Heights,Private room,49,21,15,0.15,331,Profesional
Manhattan,East Village,Entire home/apt,212,3,67,1.31,51,Ocasional
Manhattan,Lower East Side,Private room,95,1,109,1.11,364,Profesional
Brooklyn,Williamsburg,Entire home/apt,140,2,9,0.11,254,Ocasional
Manhattan,Harlem,Entire home/apt,135,6,187,1.87,189,Ocasional
Brooklyn,Park Slope,Entire home/apt,150,2,214,2.08,263,Profesional
Brooklyn,Gowanus,Entire home/apt,190,3,69,0.79,258,Profesional
Manhattan,East Harlem,Entire home/apt,124,28,22,0.26,103,Ocasional
Brooklyn,Williamsburg,Entire home/apt,135,30,56,0.56,42,Ocasional
Manhattan,Morningside Heights,Private room,122,3,93,0.93,246,Ocasional
Manhattan,Upper West Side,Private room,109,1,104,1.05,364,Profesional
Manhattan,Harlem,Private room,85,30,64,0.68,318,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,127,1.25,72,Profesional
Manhattan,Upper West Side,Entire home/apt,195,11,30,0.32,249,Ocasional
Brooklyn,Carroll Gardens,Entire home/apt,250,2,106,1.34,272,Profesional
Brooklyn,Greenpoint,Private room,125,3,6,0.1,325,Ocasional
Manhattan,Little Italy,Entire home/apt,575,2,191,1.88,298,Ocasional
Manhattan,Upper West Side,Entire home/apt,150,30,48,0.55,35,Ocasional
Brooklyn,Bushwick,Private room,70,5,47,0.49,203,Ocasional
Manhattan,Inwood,Private room,90,2,120,1.27,132,Ocasional
Manhattan,East Village,Private room,65,3,52,0.63,5,Ocasional
Manhattan,East Village,Entire home/apt,500,2,48,0.48,297,Profesional
Manhattan,Washington Heights,Entire home/apt,250,3,32,0.43,276,Profesional
Manhattan,Chinatown,Entire home/apt,125,25,43,0.42,102,Ocasional
Manhattan,West Village,Entire home/apt,200,30,39,0.44,251,Ocasional
Brooklyn,Greenpoint,Entire home/apt,229,1,50,0.5,188,Ocasional
Bronx,Kingsbridge,Entire home/apt,90,30,4,0.35,346,Profesional
Manhattan,Upper West Side,Entire home/apt,110,13,38,0.39,0,Ocasional
Brooklyn,Greenpoint,Private room,59,3,29,0.36,15,Ocasional
Brooklyn,Williamsburg,Entire home/apt,195,4,59,0.6,71,Ocasional
Brooklyn,Williamsburg,Entire home/apt,169,1,68,0.67,215,Profesional
Manhattan,East Harlem,Entire home/apt,113,14,26,0.27,253,Profesional
Manhattan,Harlem,Entire home/apt,250,14,31,0.31,78,Ocasional
Queens,Astoria,Entire home/apt,115,2,198,2.01,257,Ocasional
Brooklyn,Greenpoint,Private room,55,2,1,0.01,0,Ocasional
Brooklyn,Williamsburg,Private room,69,2,220,2.17,8,Profesional
Manhattan,Lower East Side,Entire home/apt,150,3,286,2.81,191,Ocasional
Brooklyn,South Slope,Entire home/apt,169,2,398,3.97,182,Profesional
Brooklyn,Greenpoint,Private room,179,3,36,0.36,79,Profesional
Manhattan,Hell's Kitchen,Private room,150,3,36,0.36,49,Ocasional
Brooklyn,Boerum Hill,Entire home/apt,135,4,6,0.1,0,Ocasional
Brooklyn,Clinton Hill,Entire home/apt,350,6,14,0.3,156,Ocasional
Brooklyn,Williamsburg,Private room,120,14,76,0.76,343,Profesional
Manhattan,East Village,Private room,71,2,182,1.81,200,Ocasional
Brooklyn,Greenpoint,Private room,349,3,8,0.09,60,Profesional
Brooklyn,Greenpoint,Private room,349,3,7,0.07,60,Profesional
Brooklyn,Park Slope,Entire home/apt,165,30,34,0.51,189,Profesional
Brooklyn,Greenpoint,Private room,249,3,2,0.02,60,Profesional
Brooklyn,Brooklyn Heights,Private room,100,3,66,0.68,0,Profesional
Brooklyn,Brooklyn Heights,Entire home/apt,200,3,80,0.85,106,Profesional
Manhattan,East Village,Entire home/apt,169,4,240,2.4,276,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,3,46,1.07,248,Ocasional
Brooklyn,Bushwick,Entire home/apt,65,2,228,2.27,194,Ocasional
Brooklyn,Fort Greene,Entire home/apt,130,35,5,0.05,135,Ocasional
Brooklyn,Williamsburg,Entire home/apt,199,30,8,0.11,30,Ocasional
Manhattan,East Village,Entire home/apt,225,2,33,0.33,0,Ocasional
Brooklyn,Greenpoint,Private room,179,3,13,0.14,81,Profesional
Brooklyn,Crown Heights,Entire home/apt,150,5,5,0.05,0,Ocasional
Manhattan,East Village,Entire home/apt,139,1,388,3.88,142,Ocasional
Manhattan,Two Bridges,Private room,95,3,223,2.22,60,Profesional
Brooklyn,Crown Heights,Entire home/apt,79,15,11,0.11,179,Profesional
Manhattan,Lower East Side,Entire home/apt,150,2,151,1.51,52,Profesional
Brooklyn,Clinton Hill,Entire home/apt,650,5,0,0.0,365,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,3,218,2.26,324,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,75,0.76,237,Profesional
Queens,Astoria,Private room,80,1,42,1.21,365,Profesional
Brooklyn,Crown Heights,Entire home/apt,100,90,0,0.0,365,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,370,3.74,204,Ocasional
Brooklyn,Crown Heights,Entire home/apt,120,5,104,1.04,272,Ocasional
Brooklyn,Williamsburg,Entire home/apt,140,7,13,0.13,0,Ocasional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,4,0.07,9,Ocasional
Brooklyn,Clinton Hill,Private room,165,4,11,0.11,365,Profesional
Manhattan,Kips Bay,Entire home/apt,125,4,1,0.01,181,Profesional
Manhattan,Chelsea,Entire home/apt,130,30,19,0.19,189,Ocasional
Manhattan,East Harlem,Shared room,65,7,131,1.31,0,Profesional
Brooklyn,Fort Greene,Entire home/apt,123,30,15,0.15,189,Ocasional
Manhattan,Washington Heights,Private room,67,2,136,1.37,296,Ocasional
Queens,Queens Village,Private room,50,1,43,0.45,88,Ocasional
Brooklyn,Gowanus,Entire home/apt,130,7,98,0.99,35,Ocasional
Brooklyn,Williamsburg,Private room,100,3,31,0.31,0,Ocasional
Manhattan,Upper West Side,Entire home/apt,212,21,45,0.46,35,Ocasional
Brooklyn,Williamsburg,Entire home/apt,190,3,124,1.76,359,Ocasional
Brooklyn,Greenpoint,Private room,599,3,9,0.09,60,Profesional
Manhattan,East Village,Entire home/apt,249,5,166,1.68,365,Profesional
Queens,Rockaway Beach,Private room,70,27,13,0.13,335,Ocasional
Brooklyn,Crown Heights,Entire home/apt,100,30,15,0.16,282,Profesional
Manhattan,Harlem,Private room,60,3,380,3.83,247,Profesional
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,86,0.87,102,Ocasional
Brooklyn,Greenpoint,Entire home/apt,175,3,248,2.53,274,Profesional
Manhattan,Upper West Side,Entire home/apt,120,5,49,0.56,201,Ocasional
Manhattan,Midtown,Entire home/apt,169,18,54,0.57,98,Ocasional
